Start : 2025-03-25T15:38:52.506Z
Connection established 
data={"name":"Цегла КПД-400, 115х230х65","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Плита ШПГТ; 95х490х490","techUnits":"шт","techToAcc":1,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Плита ПМТБ-2; 50х1000х500; 120кг/м3","techUnits":"м2","techToAcc":0.03,"accUnits":"м3","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"LYTX-1260B плита; 50х1200х1200","techUnits":"м2","techToAcc":1.44,"accUnits":"шт","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 0,8; Ст; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 1,0; Ст; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 1,5; Ст; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 2; Ст; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 3; Ст; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 5; Ст; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 6; Ст; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 8; Ст; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 10; Ст; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":45,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 2; 310S; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":600,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 3; 310S; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":600,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 5; 310S; 1500х3000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":600,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 6; 310S; 1500х3000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":600,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 8; 310S; 1500х3000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":600,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 10; 310S; 1500х3000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":600,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 0,8; 304S; 1000х2000","techUnits":"м2","techToAcc":6.28,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 0,8; 304S; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
